# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_punitive_model
# start_datetime = 2025-03-18 19:28:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpi04oWE/standata-cac65c3f9136.json
# init = 2 (Default)
# random
#   seed = 1457
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive_run-4.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive-profile-4.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_punitive_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.19314
# Diagonal elements of inverse mass matrix:
# 0.00379066, 0.00511209, 0.00149912, 7.57516e-05, 0.000783534
295.636,0.678318,0.19314,4,31,0,-290.409,0.244271,0.379465,-0.0621234,0.0399874,0.355759
294.155,0.905854,0.19314,5,31,0,-292.129,0.305016,0.286069,0.0143333,0.0317861,0.364112
294.587,0.690246,0.19314,2,3,0,-292.311,0.282975,0.267953,0.00415753,0.0312528,0.363227
291.395,0.978613,0.19314,4,15,0,-283.003,0.326273,0.135653,-0.0217034,0.0536794,0.375703
294.788,0.997765,0.19314,4,15,0,-289.748,0.220974,0.365372,-0.00182894,0.0384311,0.324063
296.685,0.690415,0.19314,4,15,0,-292.267,0.187432,0.402157,0.00958632,0.0368629,0.33977
296.455,0.932747,0.19314,5,31,0,-294.902,0.214642,0.250122,-0.0062416,0.0587151,0.360718
297.463,0.991433,0.19314,4,31,0,-295.186,0.241471,0.261535,-0.0085814,0.0518219,0.341733
295.901,0.741415,0.19314,4,31,0,-294.809,0.231638,0.252757,-0.0234981,0.0494357,0.350705
297.225,1,0.19314,2,7,0,-295.543,0.238564,0.248468,-0.0196586,0.0516097,0.350303
296.722,0.894394,0.19314,5,31,0,-295.563,0.185593,0.362051,0.0135826,0.0391667,0.346682
296.343,0.998778,0.19314,3,15,0,-294.233,0.142446,0.339653,0.00238558,0.0552195,0.337907
295.412,1,0.19314,3,15,0,-291.745,0.169507,0.416193,0.013191,0.036629,0.364435
291.226,0.988495,0.19314,5,31,0,-289.94,0.174041,0.146397,0.0654341,0.063337,0.342412
291.944,0.999298,0.19314,4,15,0,-289.983,0.206646,0.144046,0.0520642,0.0656436,0.343169
291.922,0.865113,0.19314,3,7,0,-290.537,0.19786,0.147769,0.0568861,0.0650431,0.340239
290.229,0.987559,0.19314,4,15,0,-288.972,0.227605,0.0951708,0.0587037,0.0614278,0.339309
293.577,0.946297,0.19314,3,7,0,-288.771,0.200852,0.161386,0.0688748,0.0559015,0.348561
295.422,0.984336,0.19314,3,7,0,-293.192,0.196987,0.217177,0.0660001,0.0545864,0.352076
297.08,0.955735,0.19314,5,31,0,-293.286,0.17751,0.423889,0.000236873,0.041454,0.358942
295.64,0.926768,0.19314,4,31,0,-294.767,0.28728,0.195653,0.0065359,0.0480131,0.337748
296.836,0.995836,0.19314,4,15,0,-294.455,0.253839,0.247626,0.0261105,0.0401791,0.342099
296.589,0.940432,0.19314,4,15,0,-291.366,0.246132,0.318299,-0.0588853,0.0476304,0.348462
